Apelido,Nome,Cidade,Fundacao
12 Horas,Esporte Clube 12 Horas,Porto Alegre,14/08/2001
14 de Julho de Passo Fundo,Grêmio Esportivo e Recreativo 14 de Julho,Passo Fundo,27/06/1921
15 de Campo Bom,Clube 15 de Novembro,Campo Bom,15/11/1911
Aimoré,Clube Esportivo Aimoré,São Leopoldo,26/03/1936
Americano,Sport Club Americano,Porto Alegre,04/07/1912
Armour,Armour Futebol Clube,Santana do Livramento,17/06/1917
Atlético de Carazinho,Clube Atlético de Carazinho,Carazinho,01/07/1970
Avenida,Esporte Clube Avenida,Santa Cruz do Sul,06/01/1944
Bagé,Grêmio Esportivo Bagé,Bagé,05/08/1920
Brasil de Farroupilha,Sociedade Esportiva Recreativa e Cultural Brasil,Farroupilha,15/01/1939
Brasil de Pelotas,Grêmio Esportivo Brasil,Pelotas,07/09/1911
Cachoeira,Cachoeira Futebol Clube,Cachoeira do Sul,24/02/1914
Canoas,Canoas Sport Club,Canoas,23/01/1998
Caxias,Sociedade Esportiva e Recreativa Caxias do Sul,Caxias do Sul,10/04/1935
Cruz Alta,Sociedade Esportiva e Recreativa Cruz Alta,Cruz Alta,26/09/2007
Cruzeiro,Esporte Clube Cruzeiro,Cachoeirinha,14/07/1913
Elite,Elite Clube Desportivo,Santo Ângelo,30/09/1921
Esportivo Bento Gonçalves,Clube Esportivo Bento Gonçalves,Bento Gonçalves,28/08/1919
Farroupilha,Grêmio Atlético Farroupilha,Pelotas,26/04/1926
Gaúcho,Sport Club Gaúcho,Passo Fundo,12/05/1918
Glória de Carazinho,Grêmio Atlético Glória,Carazinho,18/06/1933
Glória de Vacaria,Grêmio Esportivo Glória,Vacaria,15/11/1956
Grêmio,Grêmio Foot-Ball Porto Alegrense,Porto Alegre,15/09/1903
Grêmio Santanense,Grêmio Foot-Ball Santanense,Santana do Livramento,11/06/1913
Guarani de Alegrete,Guarani Futebol Clube,Alegrete,20/09/1912
Guarani de Venâncio Aires,Esporte Clube Guarani,Venâncio Aires,06/01/1944
Guarany de Bagé,Guarany Futebol Clube,Bagé,19/04/1907
Guarany de Cachoeira do Sul,Guarany Futebol Clube,Cachoeira do Sul,1917
Guarany de Camaquã,Guarany Futebol Clube,Camaquã,16/06/1946
Guarani de Venâncio Aires,Esporte Clube Guarani,Venâncio Aires,06/01/1944
Igrejinha,Esporte Clube Igrejinha,Igrejinha,26/04/1930
Internacional,Sport Club Internacional,Porto Alegre,04/04/1909
Internacional de Santa Maria,Esporte Clube Internacional,Santa Maria,16/05/1928
Juventude,Esporte Clube Juventude,Caxias do Sul,29/06/1913
Lajeadense,Clube Esportivo Lajeadense,Lajeado,23/04/1911
Marau,Futebol Clube Marau,Marau,21/06/2013
Nacional,Esporte Clube Nacional,Cruz Alta,17/03/1941
Nova Prata,Associação Nova Prata de Esportes Cultura e Lazer,Nova Prata,10/04/2003
Novo Hamburgo,Esporte Clube Novo Hamburgo,Novo Hamburgo,01/05/1911
Novo Horizonte,Esporte Clube Novo Horizonte,Esteio,28/12/2008
Palmeirense,Esporte Clube Palmeirense,Palmeira das Missões,27/05/1919
Panambi,Sociedade Esportiva e Recreativa Panambi,Panambi,01/01/2004
Passo Fundo,Esporte Clube Passo Fundo,Passo Fundo,10/01/1986
Pelotas,Esporte Clube Pelotas,Pelotas,11/10/1908
Porto Alegre,Porto Alegre Futebol Clube,Porto Alegre,10/06/2003
Pradense,Clube Atlético Pradense,Antônio Prado,06/11/1911
PRS,Players RS Futebol Clube,Garibaldi,2015
Real,Real Sport Club,Capão da Canoa,2005
Renner,Grêmio Esportivo Renner,Porto Alegre,27/07/1931
Rio Grande,Sport Club Rio Grande,Rio Grande,19/07/1900
F. C. Riograndense,Football Club Riograndense,Rio Grande,11/07/1909
Riograndense F.C.,Riograndense Futebol Clube,Santa Maria,07/05/1912
Sá Viana,Sá Viana Futebol Clube,Uruguaiana,20/02/1940
Santa Cruz,Futebol Clube Santa Cruz,Santa Cruz do Sul,26/03/1913
Santo Ângelo,Sociedade Esportiva e Recreativa Santo Ângelo,Santo Ângelo,26/09/1989
A.E. São Borja,Associação Esportiva São Borja,São Borja,19/02/2009
S.E. São Borja,Sociedade Esportiva São Borja,São Borja,14/01/1977
São Gabriel,Esporte Clube São Gabriel,São Gabriel,23/09/2013
São José CS,Grêmio Esportivo São José,Cachoeira do Sul,03/07/1968
São José,Esporte Clube São José,Porto Alegre,24/05/1913
São Luiz,Esporte Clube São Luiz,Ijuí,20/02/1938
São Paulo,Sport Club São Paulo,Rio Grande,04/10/1908
Sapucaiense,Grêmio Esportivo Sapucaiense,Sapucaia do Sul,28/07/1941
Tamoio,Tamoio Futebol Clube,Santo Ângelo,01/07/1944
Torrense,Grêmio Esportivo Torrense,Torres,21/04/1949
Três Passos,Três Passos Atlético Clube,Três Passos,09/02/1966
Tupi,Tupi Futebol Clube,Crissiumal,01/05/1949
União Frederiquense,União Frederiquense de Futebol,Frederico Westphalen,03/08/2010
União Harmonia,União Harmonia Futebol Clube,Canoas,23/05/1954
Veranópolis,Veranópolis Esporte Clube Recreativo e Cultural,Veranópolis,15/01/1992
Ypiranga,Ypiranga Futebol Clube,Erechim,18/08/1924
